REPAY_SERIAL_NO                    	object              	Base                
LOAN_APP_NO                        	object              	Base                
UNIFIED_CUSTOMER_NO                	object              	Base                
REPAY_CONTRACT_SYS_NO              	object              	Base                
REPAY_TERM_CURR                    	float64             	Base                
CYCLE_DATE                         	object              	Base                
REPAY_CONTRACT_BALANCE_CURR        	float64             	Base                
REPAY_OVERDUE_STATUS_CURR          	float64             	Base                
LOAN_PRODUCT_TYPE                  	object              	Base                
UNIT_WEIGHT                        	float64             	Base                
DOLL_WEIGHT                        	float64             	Base                
REPAY_MAX_OVERDUE_3M               	float64             	Base                
SEG                                	float64             	Base                
IS_COLLECTION_BAD                  	float64             	Base                
CUST_TYPE                          	object              	Demo                
CUST_GENDER                        	object              	Demo                
IDCARD_AGE                         	float64             	Demo                
CUST_ID_TYPE_ID                    	object              	Demo                
IDCARD_PROVINCE                    	object              	Demo                
CUST_EDU_LEVEL                     	object              	Demo                
CUST_MARRIAGE_STATUS               	object              	Demo                
CUST_LIVING_PROVINCE               	object              	Demo                
CUST_EMAIL_DOMAIN                  	object              	Demo                
CUST_QQ_NO_LEN                     	float64             	Demo                
CUST_MOBILE_PROVINCE               	object              	Demo                
MOBILE_RUNCOMP                     	object              	Demo                
CUST_HOME_TEL_PROVINCE             	object              	Demo                
CUST_BANK_ACCOUNT                  	object              	Demo                
CUST_BANK_ACCT_PROVINCE            	object              	Demo                
CUST_MONTHLY_INCOME                	float64             	Demo                
CUST_YEARLY_INCOME                 	float64             	Demo                
CUST_MONTHLY_OTHER_INCOME          	float64             	Demo                
CUST_TOT_MONTHLY_INCOME            	float64             	Demo                
CUST_FAMILY_FEED_PEOPLE            	float64             	Demo                
CUST_LIVING_PLACE_HOUSE_STS_ID     	object              	Demo                
CUST_LIVING_PLACE_SITUATION_ID     	object              	Demo                
CUST_LIVING_PLACE_YEARS            	float64             	Demo                
CUST_WORK_ORG_TYPE_ID              	object              	Demo                
CUST_WORK_TITLE_ID                 	object              	Demo                
CUST_JOB_YOF                       	float64             	Demo                
CUST_WORK_TEL_PROVINCE             	object              	Demo                
CUST_COMPANY_TYPE_ID               	object              	Demo                
CUST_COMPANY_TITLE_ID              	object              	Demo                
CUST_COMPANY_CAPITAL               	float64             	Demo                
CUST_COMPANY_TEL_PROVINCE          	object              	Demo                
YR_SNC_CUST_COMPANY_REG            	float64             	Demo                
HAVE_CONTACT_COUNT                 	float64             	Demo                
CUST_RSDNC_BA_PROVINCE_MATCH       	float64             	Demo                
CUST_IDCARD_MOBILE_MATCH           	float64             	Demo                
CUST_IDCARD_APP_MATCH              	float64             	Demo                
CUST_MOBILE_APP_MATCH              	float64             	Demo                
CUST_RSDNC_APP_MATCH               	float64             	Demo                
CUST_IDCARD_WKTEL_MATCH            	float64             	Demo                
CUST_MOBILE_WKTEL_MATCH            	float64             	Demo                
CUST_CONTACT_DSTNCT_TEL_CNT        	float64             	Demo                
CUST_CONTACT_DSTNCT_TYPE_CNT       	float64             	Demo                
CUST_CONTACT_DSTNCT_PROV_CNT       	float64             	Demo                
CUST_CONTACT_DSTNCT_CITY_CNT       	float64             	Demo                
CUST_CONTACT_COLLEAGUE_CNT         	float64             	Demo                
CUST_CONTACT_CHILDREN_CNT          	float64             	Demo                
CUST_CONTACT_RELATIVE_CNT          	float64             	Demo                
CUST_CONTACT_OTHER_CNT             	float64             	Demo                
CUST_CONTACT_FRIEND_CNT            	float64             	Demo                
CUST_CONTACT_SPOUSE_CNT            	float64             	Demo                
CUST_CONTACT_PARENT_CNT            	float64             	Demo                
CUST_CONTACT_JOBPROOF_CNT          	float64             	Demo                
CUST_CONTACT_ID_PROV_CNT           	float64             	Demo                
CUST_CONTACT_RSD_PROV_CNT          	float64             	Demo                
CUST_CONTACT_CEL_PROV_CNT          	float64             	Demo                
CUST_CONTACT_HTEL_PROV_CNT         	float64             	Demo                
CUST_CONTACT_BA_PROV_CNT           	float64             	Demo                
CUST_CONTACT_WTEL_PROV_CNT         	float64             	Demo                
CUST_CONTACT_CMPTEL_PROV_CNT       	float64             	Demo                
DIFF_LOAN_ISSUE_DAY_CYCLE          	float64             	Contract            
LOAN_PRODUCT_CATEGORY              	object              	Contract            
LOAN_APP_CITY                      	object              	Contract            
LOAN_APP_PROVINCE                  	object              	Contract            
LOAN_TERMS_TOTAL                   	float64             	Contract            
LOAN_TERMS_REMAIN                  	float64             	Contract            
LOAN_CONTRACT_AMT                  	float64             	Contract            
LOAN_CUST_ACTUAL_AMT               	float64             	Contract            
R_LOAN_ACTUAL_CNTRCT_AMT           	float64             	Contract            
LOAN_MONTHLY_PAYMENT_PLANNED       	float64             	Contract            
LOAN_YEARLY_RATE                   	float64             	Contract            
LOAN_DEAL_FEE                      	float64             	Contract            
LOAN_DEAL_FEE_RATE                 	float64             	Contract            
LOAN_RISK_FEE_AMT                  	float64             	Contract            
LOAN_RISK_FEE_RATE                 	float64             	Contract            
LOAN_MONTHLY_SERVICE_FEE           	float64             	Contract            
LOAN_DELAYING_FINE_RATE            	float64             	Contract            
LOAN_OVERDUE_INTEREST_RATE         	float64             	Contract            
LOAN_PURPOSE_ID                    	object              	Contract            
LOAN_CHANNEL_ID                    	object              	Contract            
LOAN_APP_AMT                       	float64             	Contract            
R_LOAN_ACTUAL_APP_AMT              	float64             	Contract            
REPAY_FPD_IND                      	float64             	Repay               
REPAY_TOT_AGE_CD_LF                	float64             	Repay               
REPAY_AVG_AGE_CD_LF                	float64             	Repay               
REPAY_MAX_AGE_CD_LF                	float64             	Repay               
REPAY_MIN_AGE_CD_LF                	float64             	Repay               
REPAY_TOT_DLNQ_CNT_LF              	float64             	Repay               
REPAY_TOT_CURR_CNT_LF              	float64             	Repay               
REPAY_AVG_DLNQ_CNT_LF              	float64             	Repay               
REPAY_TOT_3DPD_CNT_LF              	float64             	Repay               
REPAY_TOT_M1_LF                    	float64             	Repay               
REPAY_TOT_PYMT_MO_CNT_LF           	float64             	Repay               
REPAY_AVG_PYMT_MO_CNT_LF           	float64             	Repay               
REPAY_MAX_DELAY_LF                 	float64             	Repay               
REPAY_AVG_DELAY_LF                 	float64             	Repay               
MON_SNC_1ST_DLNQ_LF                	float64             	Repay               
MON_SNC_LST_DLNQ_LF                	float64             	Repay               
MON_SNC_1ST_CURR_LF                	float64             	Repay               
MON_SNC_LST_CURR_LF                	float64             	Repay               
REPAY_TOT_AGE_CD_3M                	float64             	Repay               
REPAY_AVG_AGE_CD_3M                	float64             	Repay               
REPAY_MAX_AGE_CD_3M                	float64             	Repay               
REPAY_MIN_AGE_CD_3M                	float64             	Repay               
REPAY_TOT_DLNQ_CNT_3M              	float64             	Repay               
REPAY_TOT_CURR_CNT_3M              	float64             	Repay               
REPAY_AVG_DLNQ_CNT_3M              	float64             	Repay               
REPAY_TOT_3DPD_CNT_3M              	float64             	Repay               
REPAY_TOT_M1_3M                    	float64             	Repay               
REPAY_TOT_PYMT_MO_CNT_3M           	float64             	Repay               
REPAY_AVG_PYMT_MO_CNT_3M           	float64             	Repay               
REPAY_MAX_DELAY_3M                 	float64             	Repay               
REPAY_AVG_DELAY_3M                 	float64             	Repay               
MON_SNC_1ST_DLNQ_3M                	float64             	Repay               
MON_SNC_LST_DLNQ_3M                	float64             	Repay               
MON_SNC_1ST_CURR_3M                	float64             	Repay               
MON_SNC_LST_CURR_3M                	float64             	Repay               
REPAY_TOT_AGE_CD_6M                	float64             	Repay               
REPAY_AVG_AGE_CD_6M                	float64             	Repay               
REPAY_MAX_AGE_CD_6M                	float64             	Repay               
REPAY_MIN_AGE_CD_6M                	float64             	Repay               
REPAY_TOT_DLNQ_CNT_6M              	float64             	Repay               
REPAY_TOT_CURR_CNT_6M              	float64             	Repay               
REPAY_AVG_DLNQ_CNT_6M              	float64             	Repay               
REPAY_TOT_3DPD_CNT_6M              	float64             	Repay               
REPAY_TOT_M1_6M                    	float64             	Repay               
REPAY_TOT_PYMT_MO_CNT_6M           	float64             	Repay               
REPAY_AVG_PYMT_MO_CNT_6M           	float64             	Repay               
REPAY_MAX_DELAY_6M                 	float64             	Repay               
REPAY_AVG_DELAY_6M                 	float64             	Repay               
MON_SNC_1ST_DLNQ_6M                	float64             	Repay               
MON_SNC_LST_DLNQ_6M                	float64             	Repay               
MON_SNC_1ST_CURR_6M                	float64             	Repay               
MON_SNC_LST_CURR_6M                	float64             	Repay               
R_REPAY_AVG_MAX_AGE_CD_LF          	float64             	Repay               
R_REPAY_3DPD_M1_CNT_LF             	float64             	Repay               
R_REPAY_AVG_MAX_DELAY_LF           	float64             	Repay               
D_MON_S_1ST_LST_DLNQ_LF            	float64             	Repay               
D_MON_S_1ST_LST_CURR_LF            	float64             	Repay               
R_REPAY_AVG_MAX_AGE_CD_3M          	float64             	Repay               
R_REPAY_3DPD_M1_CNT_3M             	float64             	Repay               
R_REPAY_AVG_MAX_DELAY_3M           	float64             	Repay               
D_MON_S_1ST_LST_DLNQ_3M            	float64             	Repay               
D_MON_S_1ST_LST_CURR_3M            	float64             	Repay               
R_REPAY_AVG_MAX_AGE_CD_6M          	float64             	Repay               
R_REPAY_3DPD_M1_CNT_6M             	float64             	Repay               
R_REPAY_AVG_MAX_DELAY_6M           	float64             	Repay               
